Title,Author,Genre,Year
To Kill a Mockingbird,Harper Lee,Fiction,1960
1984,George Orwell,Dystopian,1949
The Great Gatsby,F. Scott Fitzgerald,Classic,1925
The Catcher in the Rye,J.D. Salinger,Fiction,1951
Pride and Prejudice,Jane Austen,Romance,1813
Moby-Dick,Herman Melville,Adventure,1851
War and Peace,Leo Tolstoy,Historical,1869
Ulysses,James Joyce,Modernist,1922
The Odyssey,Homer,Epic,-800
Jane Eyre,Charlotte Brontë,Gothic,1847
Crime and Punishment,Fyodor Dostoevsky,Psychological,1866
The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954
The Hobbit,J.R.R. Tolkien,Fantasy,1937
Anna Karenina,Leo Tolstoy,Romance,1877
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880
Brave New World,Aldous Huxley,Dystopian,1932
Wuthering Heights,Emily Brontë,Romance,1847
Les Misérables,Victor Hugo,Historical,1862
Great Expectations,Charles Dickens,Classic,1861
The Count of Monte Cristo,Alexandre Dumas,Adventure,1844
The Grapes of Wrath,John Steinbeck,Historical,1939
A Tale of Two Cities,Charles Dickens,Historical,1859
Fahrenheit 451,Ray Bradbury,Dystopian,1953
Lolita,Vladimir Nabokov,Literary,1955
The Sound and the Fury,William Faulkner,Southern Gothic,1929
Don Quixote,Miguel de Cervantes,Adventure,1605
Madame Bovary,Gustave Flaubert,Literary,1857
The Iliad,Homer,Epic,-750
One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism,1967
Dracula,Bram Stoker,Gothic Horror,1897
Frankenstein,Mary Shelley,Gothic,1818
Heart of Darkness,Joseph Conrad,Novella,1899
The Picture of Dorian Gray,Oscar Wilde,Philosophical,1890
The Metamorphosis,Franz Kafka,Modernist,1915
The Trial,Franz Kafka,Modernist,1925
Gone with the Wind,Margaret Mitchell,Historical,1936
Slaughterhouse-Five,Kurt Vonnegut,Science Fiction,1969
Catch-22,Joseph Heller,Satire,1961
Beloved,Toni Morrison,Historical,1987
The Stranger,Albert Camus,Philosophical,1942
The Sun Also Rises,Ernest Hemingway,Literary,1926
The Old Man and the Sea,Ernest Hemingway,Literary,1952
Of Mice and Men,John Steinbeck,Classic,1937
The Handmaid's Tale,Margaret Atwood,Dystopian,1985
The Road,Cormac McCarthy,Post-apocalyptic,2006
The Shining,Stephen King,Horror,1977
Dune,Frank Herbert,Science Fiction,1965
American Psycho,Bret Easton Ellis,Psychological,1991
The Alchemist,Paulo Coelho,Philosophical,1988
The Kite Runner,Khaled Hosseini,Historical,2003
